supplier,vnr,ean,name,default_qty,unit,note
Kjarnavörur,9609,,SoNatural Avacado 355ml,,,
Kjarnavörur,,,SoNatural orange 355ml,,,vörunúmer vantar í frumriti
Kjarnavörur,,,SoNatural Red fruits 250ml,,,vörunúmer vantar í frumriti
Kjarnavörur,9601,,Teygur súkkul/kók 250ml,,,
Kjarnavörur,9602,,Teygur m/súkkul. 250ml,,,
Kjarnavörur,,,Teygur,,,óskilgreint afbrigði og vörunúmer vantar í frumriti
Kjarnavörur,9404,,Kefir Blönduð ber 250ml,,,
Kjarnavörur,9401,,Kefir Bláberja 250ml,,,
Kjarnavörur,9402,,Kefir Jarðaberja 250ml,,,
Kjarnavörur,9403,,Kefir Kaffi 250ml,,,
Kjarnavörur,9405,,Kefir Hreinn 250ml,,,
Kjarnavörur,9903,,Grísk drykkj. jóg Bláber 250ml,,,
Kjarnavörur,9901,,Grísk drykkj. jóg Epli/engif 250ml,,,
Kjarnavörur,9902,,Grísk drykkj. jóg Ban/vanill 250ml,,,
Kjarnavörur,9904,,Grísk drykkj. jóg Mangó/ástald. 250ml,,,
Kjarnavörur,9200,,Bláberjaskyrterta 600gr,,,
Kjarnavörur,9201,,Hindberjaskyrterta 600gr,,,
Kjarnavörur,10101,,Ídýfa m/kryddblöndu 175gr,,,
Kjarnavörur,10105,,Ídýfa diet m/kryddblöndu 175gr,,,
Kjarnavörur,10201,,Ídýfa m/papriku 175gr,,,
Kjarnavörur,10301,,Ídýfa m/lauk 175gr,,,
Kjarnavörur,10601,,Ídýfa m/ísl. beikoni 175gr,,,
Kjarnavörur,10801,,Ídýfa m/sweet chilli 175gr,,,
Kjarnavörur,20101,,EF Grænmetissósa 400ml,,,
Kjarnavörur,21010,,EF Sinnepssósa 400ml,,,
Kjarnavörur,21140,,EF Pizzasósa 430ml,,,
Kjarnavörur,20501,,EF Kokteilsósa 400ml,,,
Kjarnavörur,20401,,EF Hamborgarasósa 400ml,,,
Kjarnavörur,20601,,EF Pítusósa 400ml,,,
Kjarnavörur,20811,,EF Majónes 300ml,,,
Kjarnavörur,20816,,EF Vegan Majónes 300ml,,,
Kjarnavörur,20815,,EF Chili Majónes 300ml,,,
Kjarnavörur,23011,,EF Bernaisesósa 300ml Grill,,,
Kjarnavörur,23015,,EF Gráðaostasósa 300ml Grill,,,
Kjarnavörur,23014,,EF Sinnepssósa 300ml Grill,,,
Kjarnavörur,23012,,EF Hvítlaukssósa 300ml Grill,,,
Kjarnavörur,23013,,EF Piparsósa 300ml Grill,,,
