supplier,vnr,ean,name,default_qty,unit,note
SS,2-319-152,,Birkireykt læri m.b. 1/1. án rófubeins,,kg,Jólalisti SS 2024; HSV 3596 kr/kg
SS,3-012-015,,Birkireyktur framp. úrb.,,kg,Jólalisti SS 2024; HSV 4100 kr/kg
SS,3-012-055,,Birkireykt læri úrb.,,kg,Jólalisti SS 2024; HSV 5575 kr/kg
SS,3-015-015,,Birkireyktur hálfur framp.úrb. - soðinn,,kg,Jólalisti SS 2024; HSV 5127 kr/kg
SS,3-015-055,,"Birkireykt hálft læri, úrb. soðið",,kg,Jólalisti SS 2024; HSV 6307 kr/kg
SS,3-012-016,,"Taðreykt læri,  úrb.",,kg,Jólalisti SS 2024; HSV 5284 kr/kg
SS,3-012-063,,"Tindfjalla hangikjet,  tvíreykt",,kg,Jólalisti SS 2024; HSV 6909 kr/kg
SS,2-719-131,,Léttreyktur lambahryggur mb. lt.,,kg,Jólalisti SS 2024; HSV 3689 kr/kg
SS,3-038-045,,SS grísahamb.hr úrb. lt.,,kg,Jólalisti SS 2024; Grísakjöt; HSV 2586 kr/kg
SS,2-739-141,,SS grísahamb.hr mb. lt.,,kg,Jólalisti SS 2024; Grísakjöt; HSV 2195 kr/kg
SS,3-037-072,,Einiberja skinka lt soðin,,kg,Jólalisti SS 2024; Grísakjöt; HSV 2651 kr/kg
SS,4-521-309,,"Nautatungur, ósoðnar, saltaðar, í lt.",,kg,Jólalisti SS 2024; Tungur og súrmatur; HSV 1210 kr/kg
SS,4-528-301,,"Nautatungur, reyktar, í lt.",,kg,Jólalisti SS 2024; Tungur og súrmatur; HSV 1353 kr/kg
SS,3020160,,Tindjallahangikjet tvíreykt úrb.sn. Lsk. Box,,stk,Jólalisti SS 2024; Álegg og þurrpylsur; HSV 552 kr/stk
SS,3015116,,"Kindavöðvi þurrkaður,  ca. 160 gr.",,kg,Jólalisti SS 2024; Álegg og þurrpylsur; HSV 6729 kr/kg
SS,5825022,,"Rauðvínssalami,  250 gr.",,stk,Jólalisti SS 2024; Álegg og þurrpylsur; HSV 782 kr/stk
