supplier,vnr,ean,name,default_qty,unit,note
HB heildverslun,Que001,,Chocolate Chip Cookie Dough 12stk,,,Quest; keypt 2019: 12
HB heildverslun,Que016,,Cookies & Cream 12stk,,,Quest; keypt 2019: 12
HB heildverslun,SK100427,,Holiday Jam mini,,,Stonewall Kitchen; keypt 2019: 8
HB heildverslun,SK100823,,Organic Sweet Chili Jam,,,Stonewall Kitchen; keypt 2019: 15
HB heildverslun,SK101300,,Tangerine Marmalade,,,Stonewall Kitchen; keypt 2019: 7
HB heildverslun,SK101302,,Lemon Pear Marmalade,,,Stonewall Kitchen; keypt 2019: 3
HB heildverslun,SK101305,,Wild Maine Blueberry Jam,,,Stonewall Kitchen; keypt 2019: 11
HB heildverslun,SK101306,,Roasted Garlic Onion Jam,,,Stonewall Kitchen; keypt 2019: 8
HB heildverslun,SK101309,,Red Raspberry Jam,,,Stonewall Kitchen; keypt 2019: 7
HB heildverslun,SK101314,,Pink Grapefruit Marmalade,,,Stonewall Kitchen; keypt 2019: 4
HB heildverslun,SK101322,,Peach Amaretto Jam,,,Stonewall Kitchen; keypt 2019: 15
HB heildverslun,SK111307,,Roasted Garlic Aioli,,,Stonewall Kitchen; keypt 2019: 23
HB heildverslun,SK111308,,Smoky Barbecue Aioli,,,Stonewall Kitchen; keypt 2019: 17
HB heildverslun,SK111309,,Habanero Mango Aioli,,,Stonewall Kitchen; keypt 2019: 28
HB heildverslun,SK111311,,Horseradish Aioli,,,Stonewall Kitchen; keypt 2019: 16
HB heildverslun,SK111318,,Truffle Aioli,,,Stonewall Kitchen; keypt 2019: 26
HB heildverslun,SK111319,,Maple Bacon Aioli,,,Stonewall Kitchen; keypt 2019: 16
HB heildverslun,SK131101,,Maple Chipotle Grille Sauce,,,Stonewall Kitchen; keypt 2019: 11
HB heildverslun,SK131109,,Honey Barbecue Sauce,,,Stonewall Kitchen; keypt 2019: 6
HB heildverslun,SK131113,,Garlic Teriyaki Sauce,,,Stonewall Kitchen; keypt 2019: 14
HB heildverslun,SK131114,,Sesame Ginger Teriyaki Sauce,,,Stonewall Kitchen; keypt 2019: 11
HB heildverslun,SK141101,,Roasted Garlic Vinaigrette,,,Stonewall Kitchen; keypt 2019: 11
HB heildverslun,SK141117,,Balsamic Fig Dressing,,,Stonewall Kitchen; keypt 2019: 4
HB heildverslun,SK141121,,Classic Italian Dressing,,,Stonewall Kitchen; keypt 2019: 9
HB heildverslun,SK141138,,Bacon Ceasar Dressing,,,Stonewall Kitchen; keypt 2019: 12
