supplier,vnr,ean,name,default_qty,unit,note
Grímur Kokkur,1500,,Fiskibollur 1kg,,,frystivara
Grímur Kokkur,14,,Fiskur í raspi 1kg (kubbar),,,frystivara
Grímur Kokkur,490,,Fiskistangir 1kg,,,frystivara
Grímur Kokkur,1252,,Smáfiskibollur m/ostafyllingu 1kg,,,frystivara
Grímur Kokkur,40,,Humarsúpa 420ml,,,frystivara
Grímur Kokkur,330,,Fiskibollur Omega 3 550gr,,,kælivara
Grímur Kokkur,410,,Fiskibollur 550gr,,,kælivara
Grímur Kokkur,415,,Plokkfiskur 1kg,,,kælivara
Grímur Kokkur,409,,Plokkfiskur 400gr,,,kælivara
