supplier,vnr,ean,name,min_qty,max_qty,daily_rate,note
MS,5301,,ÍSEY skyr jarðarber skvísur 125 g,,,,1 á mánudag; Helgar/fimmtud: 2 á fimmtudag; Eining: KS
MS,5302,,ÍSEY skyr bláber skvísur 125 g,,,,1 á mánudag; Helgar/fimmtud: 2 á fimmtudag; Eining: KS
MS,5303,,ÍSEY skyr bananar skvísur 125 g,,,,1 á mánudag; Helgar/fimmtud: 2 á fimmtudag; Eining: KS
MS,5304,,ÍSEY skyr vanilla skvísur 125 g,,,,1 á mánudag; Helgar/fimmtud: 2 á fimmtudag; Eining: PK
MS,575,,Drykkjarjógúrt m/jarðarb 300 ml,,,,alltaf fullt; Eining: PK
MS,578,,Drykkjarjógúrt m/karam 300 ml,,,,alltaf fullt; Eining: PK
MS,640,,AB mjólk jarðarber 1000 g,,,1,1 pakn á dag
MS,641,,Létt ab mjólk 1000 g,,,5,fara ca 5 stk á dag
MS,645,,AB mjólk jarðarber 500 g,,,,alltaf fullt
MS,646,,AB mjólk perur 500 g,,,,alltaf fullt
MS,647,,AB léttmjólk ferskju 500 g,,,,alltaf fullt
MS,648,,AB léttmj.suðr.ávext 500 g,,,,alltaf fullt
MS,649,,AB léttmj.epli.gulr 500 g,3,,,ekki kaupa nema 3 eftir
MS,661,,LGG+ jarðarberja 6x65 ml,,,,alltaf fullt; Helgar/fimmtud: 2 fyrir helgar; Eining: PK
MS,662,,LGG+ epli/perur 6x65 ml,3,,,kaupa þegar 3 eru eftir; Eining: PK
MS,663,,LGG+ bragðbætt 6x65ml,3,,,kaupa þegar 3 eru eftir; Eining: PK
MS,666,,LGG+ jarðarberja í fernu 455 ml,3,,,kaupa þegar 3 eru eftir; Eining: PK
MS,670,,ÍSEY skyr vanilla 170 g,0,,,ekki kaupa fyrr en er búið; Eining: PK
MS,6701,,ÍSEY skyr hreint 1 kg,,,2,ca 2 á dag; Helgar/fimmtud: kaupa 4 fyrir helgar; Eining: EIN
MS,671,,ÍSEY skyr vanilla 500 g,,,,alltaf fullt + 1 pakn inná kæli; Eining: PK
MS,672,,ÍSEY skyr bláber 170 g,0,,,ekki kaupa fyrr en er búið; Eining: PK
MS,673,,ÍSEY skyr bláber 500 g,,,,alltaf fullt + 1 pakn inná kæli; Eining: PK
MS,676,,ÍSEY skyr jarðarber 170 g,0,,,ekki kaupa fyrr en er búið; Eining: PK
MS,677,,ÍSEY skyr jarðarber 500 g,,,,alltaf fullt + 1 pakn inná kæli; Eining: PK
MS,679,,ÍSEY skyr hreint 500 g,,,,ekki kaupa fyrr en 2 eru eftir; Eining: PK
MS,680,,"KEA skyr með saltkaramellu, laktósalaus 200 g",0,,,ekki kaupa fyrr en er búið; Eining: PK
MS,681,,KEA skyr saltkaramella 500 g,,,,alltaf fullt + 1 pakn inná kæli; Eining: PK
MS,688,,KEA bláber og jarðarber skyr 200 g,0,,,ekki kaupa fyrr en er búið; Eining: PK
MS,689,,KEA bláber og jarðarber skyr 500 g,,,,alltaf fullt + 1 pakn inná kæli; Eining: PK
MS,692,,ÍSEY skyr jarðarb og hvítt súkk 170g,0,,,ekki kaupa fyrr en er búið; Eining: PK
MS,702,,KEA skyr 500 g kaffi/van kolvetnask 4%,0,,,ekki kaupa fyrr en er búið; Eining: PK
MS,710,,ÍSEY skyr púff með saltkaramellu 125 g,,,2,fer ca 2 pakn á dag; Eining: PK
MS,711,,ÍSEY skyr púff með jarðarberjum og límónu 125 g,,,2,fer ca 2 pakn á dag; Eining: PK
MS,712,,ÍSEY skyr púff með kaffi og súkkulaði 125 g,,,1,fer ca 1 pakn á dag; Eining: PK
MS,713,,ÍSEY skyr púff með sítrónu 125 g,,,1,fer ca 1 pakn á dag; Eining: PK
MS,730,,ÍSEY skyr bláber og hindber 170 g,0,,,ekki kaupa fyrr en er búið; Eining: PK
MS,731,,ÍSEY skyr bláber og hindber 500 g,,,,alltaf fullt + 1 pakn inná kæli; Eining: PK
MS,735,,ÍSEY skyr mandarínusæla 170 g - sérútgáfa,0,,,ekki kaupa fyrr en er búið; Eining: PK
MS,736,,ÍSEY skyr dökkt súkkul/van 170 g,0,,,ekki kaupa fyrr en er búið; Eining: PK
MS,737,,ÍSEY skyr dökkt súkkul/vanilla 500 g,,,,alltaf fullt + 1 pakn inná kæli; Eining: PK
MS,738,,ÍSEY Skyr Kókos 170g,0,,,ekki kaupa fyrr en er búið; Eining: PK
MS,739,,ÍSEY skyr creme brulee 170 g,0,,,ekki kaupa fyrr en er búið; Eining: PK
MS,7395,,ÍSEY skyr creme brulee 500 g,,,,alltaf fullt + 1 pakn inná kæli; Eining: PK
MS,743,,ÍSEY skyr jarðarb og hvítt súkk 500g,,,,alltaf fullt + 1 pakn inná kæli; Eining: PK
MS,760,,KEA óhrært skyr 500 g,2,,,ekki kaupa fyrr en 2 stk eftir; Helgar/fimmtud: eiga 1 pakn fyrir helgar; Eining: PK
MS,792,,Engjaþykkni stracciatella,,,2,2 pakn á dag; Helgar/fimmtud: 4 fyrir helgar; Eining: PK
MS,826,,Kea skyrdr. jarðarb/ban 300 ml,4,,,ekki kaupa fyrr en 4 stk eftir; Eining: PK
MS,833,,KEA skyrdr. Kaffi og vanilla kolvetnaskert 300 ml,4,,,ekki kaupa fyrr en 4 stk eftir; Eining: PK
MS,4055,,Kotasæla 200 g,,,0.5,"ca 0,5 pakn á dag; Eining: PK"
MS,4065,,Kotasæla 500 g ds,,,1,ca 1 pakn á dag
MS,,,stór vanillu skyr 1 L,,,2,ca 2 á dag; Helgar/fimmtud: kaupa 5 fyrir helgar
